product_name,color,category,price,currency,materials,source_url,style_folder,num_images
Brooklyn Mid Rise Ankle Pant,Navy,Bottoms > Pants,99,USD,,https://athleta.gap.com/browse/product.do?pid=198671012,01_BROOKLYN_MID_RISE_ANKLE_PANT,9
Brooklyn Mid Rise Ankle Pant,Black,Bottoms > Pants,99,USD,,https://athleta.gap.com/browse/product.do?pid=198671072,01_BROOKLYN_MID_RISE_ANKLE_PANT,7
Brooklyn Mid Rise Ankle Pant,Abalone,Bottoms > Pants,99,USD,,https://athleta.gap.com/browse/product.do?pid=198671182,01_BROOKLYN_MID_RISE_ANKLE_PANT,7
Brooklyn Mid Rise Ankle Pant,Breaker,Bottoms > Pants,74.97,USD,,https://athleta.gap.com/browse/product.do?pid=198671542,01_BROOKLYN_MID_RISE_ANKLE_PANT,8
Brooklyn Mid Rise Ankle Pant,Woodland,Bottoms > Pants,99,USD,,https://athleta.gap.com/browse/product.do?pid=198671592,01_BROOKLYN_MID_RISE_ANKLE_PANT,7
Brooklyn Mid Rise Ankle Pant,Cacti,Bottoms > Pants,59.4,USD,,https://athleta.gap.com/browse/product.do?pid=198671552,01_BROOKLYN_MID_RISE_ANKLE_PANT,7
Brooklyn Mid Rise Ankle Pant,Coastal Teal,Bottoms > Pants,47.99,USD,,https://athleta.gap.com/browse/product.do?pid=198671612,01_BROOKLYN_MID_RISE_ANKLE_PANT,8
Brooklyn Mid Rise Ankle Pant,Jungle,Bottoms > Pants,99,USD,,https://athleta.gap.com/browse/product.do?pid=198671642,01_BROOKLYN_MID_RISE_ANKLE_PANT,8
Brooklyn Mid Rise Ankle Pant,Ash,Bottoms > Pants,99,USD,,https://athleta.gap.com/browse/product.do?pid=198671692,01_BROOKLYN_MID_RISE_ANKLE_PANT,7
"Mesh Racer Run Mid Rise 4"" Short",Bright White,Bottoms > Shorts & Skorts,33,USD,,https://athleta.gap.com/browse/product.do?pid=291749122,02_MESH_RACER_RUN_MID_RISE_4_SHORT,5
"Mesh Racer Run Mid Rise 4"" Short",Black,Bottoms > Shorts & Skorts,33,USD,,https://athleta.gap.com/browse/product.do?pid=291749002,02_MESH_RACER_RUN_MID_RISE_4_SHORT,9
"Mesh Racer Run Mid Rise 4"" Short",Superbloom,Bottoms > Shorts & Skorts,39.99,USD,,https://athleta.gap.com/browse/product.do?pid=291749482,02_MESH_RACER_RUN_MID_RISE_4_SHORT,7
"Mesh Racer Run Mid Rise 4"" Short",Mystic/Morning Glory,Bottoms > Shorts & Skorts,38.5,USD,,https://athleta.gap.com/browse/product.do?pid=291749552,02_MESH_RACER_RUN_MID_RISE_4_SHORT,5
"Mesh Racer Run Mid Rise 4"" Short",Black/White,Bottoms > Shorts & Skorts,32.99,USD,,https://athleta.gap.com/browse/product.do?pid=291749392,02_MESH_RACER_RUN_MID_RISE_4_SHORT,6
"Mesh Racer Run Mid Rise 4"" Short",Flash,Bottoms > Shorts & Skorts,55,USD,,https://athleta.gap.com/browse/product.do?pid=291749532,02_MESH_RACER_RUN_MID_RISE_4_SHORT,7
Empower Mastectomy Bra Insert,Mocha Latte,Bras > All Sports Bras,5,USD,,https://athleta.gap.com/browse/product.do?pid=372047002,03_EMPOWER_MASTECTOMY_BRA_INSERT,4
Breezy Tank,Black,Tops > Tank Tops,26.4,USD,,https://athleta.gap.com/browse/product.do?pid=384043082,04_BREEZY_TANK,5
Breezy Tank,Bright White,Tops > Tank Tops,26.4,USD,,https://athleta.gap.com/browse/product.do?pid=384043002,04_BREEZY_TANK,5
Breezy Tank,Aspen Olive,Tops > Tank Tops,27.99,USD,,https://athleta.gap.com/browse/product.do?pid=384043292,04_BREEZY_TANK,5
Breezy Tank,Navy,Tops > Tank Tops,26.4,USD,,https://athleta.gap.com/browse/product.do?pid=384043502,04_BREEZY_TANK,6
Breezy Tank,Navy Stripe,Tops > Tank Tops,26.4,USD,,https://athleta.gap.com/browse/product.do?pid=384043512,04_BREEZY_TANK,6
Breezy Tank,Sky,Tops > Tank Tops,26.4,USD,,https://athleta.gap.com/browse/product.do?pid=384043572,04_BREEZY_TANK,6
Breezy Tank,Coastal Teal,Tops > Tank Tops,26.4,USD,,https://athleta.gap.com/browse/product.do?pid=384043522,04_BREEZY_TANK,5
Breezy Tank,Willow,Tops > Tank Tops,27.99,USD,,https://athleta.gap.com/browse/product.do?pid=384043602,04_BREEZY_TANK,5
Breezy Tank,Dove,Tops > Tank Tops,34.99,USD,,https://athleta.gap.com/browse/product.do?pid=384043612,04_BREEZY_TANK,6
All About Large Cosmetic Pouch,Clear,Accessories > All Bags,21,USD,,https://athleta.gap.com/browse/product.do?pid=408461032,05_ALL_ABOUT_LARGE_COSMETIC_POUCH,3
All About Large Cosmetic Pouch,Spark/Bright White,Accessories > All Bags,27.99,USD,,https://athleta.gap.com/browse/product.do?pid=408461212,05_ALL_ABOUT_LARGE_COSMETIC_POUCH,2
All About Large Cosmetic Pouch,Siren,Accessories > All Bags,21,USD,,https://athleta.gap.com/browse/product.do?pid=408461242,05_ALL_ABOUT_LARGE_COSMETIC_POUCH,2
All About Medium Cosmetic Pouch,Black,Accessories > All Bags,29,USD,,https://athleta.gap.com/browse/product.do?pid=408463002,06_ALL_ABOUT_MEDIUM_COSMETIC_POUCH,3
